Epoch,Loss,Learning_Rate,Tannakian_Factor,Splitting_Status
52,6737946875030514987813568512.0000,0.006579,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
53,6737946875030514987813568512.0000,0.006536,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
54,6737946875030514987813568512.0000,0.006494,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
55,6737946875030514987813568512.0000,0.006452,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
56,6737946875030514987813568512.0000,0.006410,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
57,6737946875030514987813568512.0000,0.006369,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
58,6737946875030514987813568512.0000,0.006329,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
59,6737946875030514987813568512.0000,0.006289,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
60,6737946875030514987813568512.0000,0.006250,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
61,6737946875030514987813568512.0000,0.006211,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
62,6737946875030514987813568512.0000,0.006173,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
63,6737946875030514987813568512.0000,0.006135,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
64,6737946875030514987813568512.0000,0.006098,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
65,6737946875030514987813568512.0000,0.006061,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
66,6737946875030514987813568512.0000,0.006024,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
67,6737946875030514987813568512.0000,0.005988,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
68,6737946875030514987813568512.0000,0.005952,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
69,6737946875030514987813568512.0000,0.005917,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
70,6737946875030514987813568512.0000,0.005882,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
71,6737946875030514987813568512.0000,0.005848,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
72,6737946875030514987813568512.0000,0.005814,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
73,6737946875030514987813568512.0000,0.005780,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
74,6737946875030514987813568512.0000,0.005747,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
75,6737946875030514987813568512.0000,0.005714,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
76,6737946875030514987813568512.0000,0.005682,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
77,6737946875030514987813568512.0000,0.005650,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
78,6737946875030514987813568512.0000,0.005618,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
79,6737946875030514987813568512.0000,0.005587,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
80,6737946875030514987813568512.0000,0.005556,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
81,6737946875030514987813568512.0000,0.005525,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
82,6737946875030514987813568512.0000,0.005495,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
83,6737946875030514987813568512.0000,0.005464,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
84,6737946875030514987813568512.0000,0.005435,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
85,6737946875030514987813568512.0000,0.005405,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
86,6737946875030514987813568512.0000,0.005376,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
87,6737946875030514987813568512.0000,0.005348,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
88,6737946875030514987813568512.0000,0.005319,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
89,6737946875030514987813568512.0000,0.005291,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
90,6737946875030514987813568512.0000,0.005263,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
91,6737946875030514987813568512.0000,0.005236,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
92,6737946875030514987813568512.0000,0.005208,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
93,6737946875030514987813568512.0000,0.005181,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
94,6737946875030514987813568512.0000,0.005155,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
95,6737946875030514987813568512.0000,0.005128,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
96,6737946875030514987813568512.0000,0.005102,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
97,6737946875030514987813568512.0000,0.005076,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
98,6737946875030514987813568512.0000,0.005051,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
99,6737946875030514987813568512.0000,0.005025,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
100,6737946875030514987813568512.0000,0.005000,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
