Epoch,Loss,Learning_Rate,Tannakian_Factor,Splitting_Status
1,6737946875030514987813568512.0000,0.009901,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
2,6737946875030514987813568512.0000,0.009804,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
3,6737946875030514987813568512.0000,0.009709,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
4,6737946875030514987813568512.0000,0.009615,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
5,6737946875030514987813568512.0000,0.009524,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
6,6737946875030514987813568512.0000,0.009434,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
7,6737946875030514987813568512.0000,0.009346,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
8,6737946875030514987813568512.0000,0.009259,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
9,6737946875030514987813568512.0000,0.009174,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
10,6737946875030514987813568512.0000,0.009091,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
11,6737946875030514987813568512.0000,0.009009,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
12,6737946875030514987813568512.0000,0.008929,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
13,6737946875030514987813568512.0000,0.008850,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
14,6737946875030514987813568512.0000,0.008772,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
15,6737946875030514987813568512.0000,0.008696,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
16,6737946875030514987813568512.0000,0.008621,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
17,6737946875030514987813568512.0000,0.008547,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
18,6737946875030514987813568512.0000,0.008475,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
19,6737946875030514987813568512.0000,0.008403,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
20,6737946875030514987813568512.0000,0.008333,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
21,6737946875030514987813568512.0000,0.008264,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
22,6737946875030514987813568512.0000,0.008197,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
23,6737946875030514987813568512.0000,0.008130,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
24,6737946875030514987813568512.0000,0.008065,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
25,6737946875030514987813568512.0000,0.008000,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
26,6737946875030514987813568512.0000,0.007937,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
27,6737946875030514987813568512.0000,0.007874,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
28,6737946875030514987813568512.0000,0.007812,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
29,6737946875030514987813568512.0000,0.007752,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
30,6737946875030514987813568512.0000,0.007692,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
31,6737946875030514987813568512.0000,0.007634,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
32,6737946875030514987813568512.0000,0.007576,1.000000000000000000000000,MOTIVIC_COHOMOLOGY_SPLITTING_EXACT
