Time_Step,Velocity_Norm,Manipulation_Filter,System_Status
78,2.0075,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
79,1.9873,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
80,1.9676,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
81,1.9482,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
82,1.9293,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
83,1.9107,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
84,1.8924,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
85,1.8745,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
86,1.8569,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
87,1.8397,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
88,1.8228,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
89,1.8062,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
90,1.7898,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
91,1.7738,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
92,1.7581,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
93,1.7426,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
94,1.7275,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
95,1.7125,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
96,1.6979,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
97,1.6835,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
98,1.6693,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
99,1.6554,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
100,1.6417,NONE(RAW_PHYSICS),UNMANIPULATED_FLUID_RUN
