Epoch,Loss,System_Status
1,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
2,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
3,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
4,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
5,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
6,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
7,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
8,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
9,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
10,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
11,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
12,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
13,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
14,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
15,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
16,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
17,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
18,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
19,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
20,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
21,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
22,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
23,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
24,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
25,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
26,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
27,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
28,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
29,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
30,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
31,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
32,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
33,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
34,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
35,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
36,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
37,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
38,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
39,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
40,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
41,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
42,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
43,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
44,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
45,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
46,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
47,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
48,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
49,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
50,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
51,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
52,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
53,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
54,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
55,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
56,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
57,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
58,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
59,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
60,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
61,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
62,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
63,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
64,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
65,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
66,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
67,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
68,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
69,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
70,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
71,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
72,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
73,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
74,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
75,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
76,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
77,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
78,6737946875030514987813568512.0000,CORE_ISOMORPHIC_LOCKED
