Epoch,Loss,Closure_Status
1,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
2,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
3,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
4,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
5,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
6,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
7,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
8,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
9,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
10,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
11,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
12,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
13,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
14,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
15,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
16,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
17,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
18,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
19,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
20,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
21,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
22,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
23,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
24,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
25,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
26,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
27,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
28,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
29,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
30,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
31,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
32,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
33,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
34,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
35,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
36,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
37,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
38,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
39,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
40,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
41,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
42,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
43,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
44,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
45,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
46,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
47,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
48,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
49,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
50,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
51,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
52,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
53,6737946875030514987813568512.0000,ABSOLUTE_CLOSURE_LOCKED
